YEAR,MO,DY,HR,PRECTOTCORR,QV2M,T2M,PS,WS10M
2021,1,1,6,0,3.23,11.07,87.75,0.63
2021,1,1,7,0,3.3,11.37,87.82,0.67
2021,1,1,8,0,4.82,13.63,87.9,0.43
2021,1,1,9,0,4.7,16.59,87.97,1.29
2021,1,1,10,0,5.07,18.16,88,2.62
2021,1,1,11,0,5.37,19.06,87.94,3.5
2021,1,1,12,0,5.62,19.42,87.84,3.95
2021,1,1,13,0,5.74,19.36,87.76,3.99
2021,1,1,14,0,5.8,18.89,87.71,3.8
2021,1,1,15,0,5.8,17.9,87.66,3.4
2021,1,1,16,0,6.77,15.57,87.65,2.12
2021,1,1,17,0,6.16,12.15,87.67,1.44
2021,1,1,18,0,5.55,11.37,87.71,0.4
2021,1,1,19,0,5.19,11.33,87.74,0.34
2021,1,1,20,0,5,11.06,87.76,0.78
2021,1,1,21,0,4.88,10.83,87.78,0.95
2021,1,1,22,0,4.7,10.64,87.78,1.12
2021,1,1,23,0,4.58,10.49,87.76,1.24
2021,1,2,0,0,4.39,10.42,87.75,1.24
2021,1,2,1,0,4.27,10.13,87.72,1.25
2021,1,2,2,0,4.09,10.17,87.66,1.25
2021,1,2,3,0,3.91,10.25,87.61,1.17
2021,1,2,4,0,3.72,10.32,87.61,1.14
2021,1,2,5,0,3.54,10.3,87.64,1.21
2021,1,2,6,0,3.36,10.23,87.7,1.3
2021,1,2,7,0,3.23,11.04,87.76,1.26
2021,1,2,8,0,4.58,13.77,87.85,0.87
2021,1,2,9,0,4.33,17.01,87.92,1.58
2021,1,2,10,0,4.52,18.63,87.92,3.1
2021,1,2,11,0,4.7,19.68,87.85,3.93
2021,1,2,12,0,5,20.25,87.77,4.45
2021,1,2,13,0,5.19,20.36,87.69,4.58
2021,1,2,14,0,5.25,19.97,87.62,4.43
2021,1,2,15,0,5.43,19.06,87.58,3.85
2021,1,2,16,0,6.96,16.62,87.57,2.2
2021,1,2,17,0,6.1,13.46,87.59,1.58
2021,1,2,18,0,5.62,12.62,87.65,0.64
2021,1,2,19,0,5.37,12.62,87.71,0.6
2021,1,2,20,0,5.31,11.84,87.75,1.08
2021,1,2,21,0,5.13,11.53,87.76,1.16
2021,1,2,22,0,4.94,11.46,87.74,1.23
2021,1,2,23,0,4.76,11.79,87.71,1.29
2021,1,3,0,0,4.58,12.06,87.67,1.39
2021,1,3,1,0,4.46,11.89,87.63,1.6
2021,1,3,2,0,4.27,11.73,87.54,1.68
2021,1,3,3,0,4.03,12.73,87.48,1.47
2021,1,3,4,0,3.85,13.04,87.47,1.02
2021,1,3,5,0,3.66,13.07,87.53,0.8
2021,1,3,6,0,3.54,13.26,87.6,0.65
2021,1,3,7,0,3.6,13.16,87.68,0.38
2021,1,3,8,0,5.07,14.37,87.74,0.59
2021,1,3,9,0,5.19,17,87.79,0.4
2021,1,3,10,0,4.88,18.73,87.79,1.73
2021,1,3,11,0,5.19,19.61,87.75,2.49
2021,1,3,12,0,5.37,20.22,87.66,2.7
2021,1,3,13,0,5.55,20.37,87.58,2.86
2021,1,3,14,0,5.68,20.02,87.53,3.01
2021,1,3,15,0,6.04,19.05,87.51,2.77
2021,1,3,16,0,7.51,16.72,87.51,1.78
2021,1,3,17,0,6.65,13.65,87.55,1.14
2021,1,3,18,0,6.16,13.27,87.59,0.25
2021,1,3,19,0,5.98,13.36,87.62,0.45
2021,1,3,20,0,5.86,13.18,87.64,0.7
2021,1,3,21,0,5.74,13.52,87.69,0.46
2021,1,3,22,0,5.55,13.65,87.74,0.7
2021,1,3,23,0,5.43,13.63,87.73,0.89
2021,1,4,0,0,5.31,13.67,87.69,0.91
2021,1,4,1,0,5.19,13.8,87.65,1.07
2021,1,4,2,0,5.19,13.92,87.62,1.26
2021,1,4,3,0,5,13.94,87.6,1.29
2021,1,4,4,0,4.88,13.76,87.6,1.27
2021,1,4,5,0,4.82,13.51,87.65,1.27
2021,1,4,6,0,4.76,13.89,87.72,1.22
2021,1,4,7,0,4.88,14.18,87.79,1.07
2021,1,4,8,0,6.53,15.94,87.87,0.75
2021,1,4,9,0,6.29,18.93,87.93,1.14
2021,1,4,10,0,6.65,20.69,87.92,2.5
2021,1,4,11,0,6.9,21.53,87.85,3.56
2021,1,4,12,0,7.08,21.75,87.78,4.2
2021,1,4,13,0,7.26,21.49,87.72,4.31
2021,1,4,14,0,7.32,21.05,87.68,4.05
2021,1,4,15,0,7.45,20.25,87.66,3.49
2021,1,4,16,0,8.42,18.26,87.65,2.15
2021,1,4,17,0,7.81,15.06,87.67,1.42
2021,1,4,18,0,7.2,14.69,87.7,0.81
2021,1,4,19,0,6.96,14.47,87.73,1.07
2021,1,4,20,0,6.77,14.14,87.75,1.32
2021,1,4,21,0,6.53,14.26,87.76,1.12
2021,1,4,22,0,6.29,14.46,87.77,0.94
2021,1,4,23,0,6.16,14.49,87.76,0.97
2021,1,5,0,0,6.04,14.65,87.72,0.9
2021,1,5,1,0,5.86,15.1,87.69,0.63
2021,1,5,2,0,5.8,14.91,87.68,0.71
2021,1,5,3,0,5.98,13.72,87.7,1.31
2021,1,5,4,0,6.1,12.87,87.7,1.49
2021,1,5,5,0,6.04,12.87,87.74,1.46
2021,1,5,6,0,6.04,13.08,87.81,1.55
2021,1,5,7,0,6.16,13.34,87.9,1.63
2021,1,5,8,0,7.39,14.96,87.98,1.55
2021,1,5,9,0,7.45,18.33,88.02,1.93
2021,1,5,10,0,7.26,20.14,88,2.86
2021,1,5,11,0,7.39,21.02,87.92,3.16
